udate	route	stid	stname	ptnum	pdnum	regd
20190301	1호선	0150	서울역	62588	64794	20190304
20190301	1호선	0151	시청	34884	36956	20190304
20190301	1호선	0152	종각	50459	37374	20190304
20190301	1호선	0153	종로3가	42034	38116	20190304
20190301	1호선	0154	종로5가	33728	34581	20190304
20190301	1호선	0155	동대문	17245	20722	20190304
20190301	1호선	0156	신설동	12450	11882	20190304
20190301	1호선	0157	제기동	18696	19124	20190304
20190301	1호선	0158	청량리(서울시립대입구)	24713	27134	20190304
20190301	1호선	0159	동묘앞	14645	17481	20190304
20190301	2호선	0201	시청	23037	22431	20190304
20190301	2호선	0202	을지로입구	48353	40235	20190304
20190301	2호선	0203	을지로3가	14770	12799	20190304
20190301	2호선	0204	을지로4가	10418	10343	20190304
20190301	2호선	0205	동대문역사문화공원	20630	23732	20190304
20190301	2호선	0206	신당	12640	13412	20190304
20190301	2호선	0207	상왕십리	10434	9499	20190304
20190301	2호선	0208	왕십리(성동구청)	15952	14138	20190304
20190301	2호선	0209	한양대	4511	6475	20190304
20190301	2호선	0210	뚝섬	11812	11886	20190304
20190301	2호선	0211	성수	15928	17110	20190304
20190301	2호선	0212	건대입구	44553	49651	20190304
20190301	2호선	0213	구의(광진구청)	17400	16244	20190304
20190301	2호선	0214	강변(동서울터미널)	45095	46693	20190304
20190301	2호선	0215	잠실나루	9583	9000	20190304
20190301	2호선	0216	잠실(송파구청)	86440	81462	20190304
20190301	2호선	0217	잠실새내	19220	20085	20190304
20190301	2호선	0218	종합운동장	9275	10701	20190304
20190301	2호선	0219	삼성(무역센터)	39915	40853	20190304
20190301	2호선	0220	선릉	23365	20891	20190304
20190301	2호선	0221	역삼	17591	19633	20190304
20190301	2호선	0222	강남	68560	72429	20190304
20190301	2호선	0223	교대(법원.검찰청)	18358	20336	20190304
20190301	2호선	0224	서초	9268	8976	20190304
20190301	2호선	0225	방배	10059	10311	20190304
20190301	2호선	0226	사당	32727	36952	20190304
